destination,destination name,date,temperature
108,1908,10.4,
108,1909,10.6,
108,1910,10.3,
108,1911,10.6,
108,1912,10.1,
108,1913,10,
108,1914,12,
108,1915,10.8,
108,1916,10.9,
108,1917,9.8,
108,1918,10.5,
108,1919,11.1,
108,1920,11.4,
108,1921,10.9,
108,1922,10.8,
108,1923,10.6,
108,1924,11,
108,1925,10.7,
108,1926,10.5,
108,1927,11,
108,1928,11.1,
108,1929,11.4,
108,1930,11.8,
108,1931,10.9,
108,1932,11.6,
108,1933,10.5,
108,1934,10.1,
108,1935,11.2,
108,1936,9.8,
108,1937,11.4,
108,1938,10.9,
108,1939,11.7,
108,1940,10.8,
108,1941,11.1,
108,1942,10.9,
108,1943,11.7,
108,1944,10.9,
108,1945,10.4,
108,1946,11.3,
108,1947,9.6,
108,1948,11.7,
108,1949,11.7,
108,1954,11.4,
108,1955,11.5,
108,1956,10.1,
108,1957,10.4,
108,1958,11.6,
108,1959,12,
108,1960,12.1,
108,1961,12.4,
108,1962,11.7,
108,1963,11.3,
108,1964,12.2,
108,1965,11.4,
108,1966,11.5,
108,1967,11.6,
108,1968,11.8,
108,1969,10.9,
108,1970,11.4,
108,1971,11.5,
108,1972,11.9,
108,1973,12,
108,1974,11.1,
108,1975,12.5,
108,1976,11.5,
108,1977,12.3,
108,1978,12.4,
108,1979,12.5,
108,1980,10.8,
108,1981,11.2,
108,1982,12.5,
108,1983,12.4,
108,1984,11.6,
108,1985,11.6,
108,1986,11.2,
108,1987,11.9,
108,1988,12.1,
108,1989,13,
108,1990,12.8,
108,1991,12.3,
108,1992,12.5,
108,1993,12,
108,1994,13.5,
108,1995,12.2,
108,1996,12.2,
108,1997,12.9,
108,1998,13.8,
108,1999,13.2,
108,2000,12.7,
108,2001,12.8,
108,2002,12.9,
108,2003,12.8,
108,2004,13.3,
108,2005,12.1,
108,2006,13,
108,2007,13.3,
108,2008,12.9,
108,2009,12.9,
108,2010,12.1,
108,2011,12,
108,2012,12.2,
108,2013,12.5,
108,2014,13.4,
108,2015,13.6,
108,2016,13.6,
108,2017,13,
108,2018,12.9,
108,2019,13.5,
108,2020,13.2,
108,2021,13.7,
108,2022,13.2,
116,1984,8.8,
116,1985,8.9,
116,1986,8.7,
116,1987,9.5,
116,1988,9.3,
116,1989,10.2,
116,1990,10,
